DATE	RR	TS	S&P500
2021-12-15	+036.609	+009.325	+1.63%
2021-12-16	+036.529	+000.000	-0.87%
2021-12-17	+046.960	+001.525	-1.03%
2021-12-20	+053.455	+001.825	-1.14%
2021-12-21	-009.756	+004.525	+1.78%
2021-12-22	-049.008	+000.925	+1.02%
2021-12-23	-121.497	+001.625	+0.62%
2021-12-27	+002.567	+000.000	+1.38%
2021-12-28	+056.717	+000.000	-0.10%
2021-12-29	+005.442	+000.000	+0.14%
2021-12-30	+053.970	+000.000	-0.30%
2021-12-31	+208.106	+000.000	-0.26%
2022-01-03	-325.056	+000.000	+0.64%
2022-01-04	-083.834	+006.325	-0.06%
2022-01-05	-002.905	+001.525	-0.41%
2022-01-06	+000.000	+001.825	+0.00%
2022-01-07	+000.000	+000.925	+0.00%
2022-01-10	+000.000	+009.325	+0.00%
2022-01-11	+000.000	+002.425	+0.00%
2022-01-12	+000.000	+001.625	+0.00%
2022-01-13	+000.000	+001.825	+0.00%
2022-01-14	+000.000	+006.325	+0.00%
